Cd;Contrt;Mod;DtContr;DtVencOp;VlrContr;ID_VENC;TIPO;VALOR;VlrProxParcela;DtaProxParcela;QtdParcelas
78329744;551183;1350;10/01/2022;10/02/2022;19,47;0;v110;19,47;19,47;10/02/2022;1
78569460;2195346;1350;15/01/2022;15/02/2022;0,66;0;v110;0,66;0,66;15/02/2022;1
78614430;748189;1350;10/01/2022;10/02/2022;13,21;0;v110;13,21;13,21;10/02/2022;1
78877440;1594686;1350;23/01/2022;23/02/2022;3,74;0;v110;3,74;3,74;23/02/2022;1
78902304;1819105;1350;20/01/2022;20/02/2022;3,12;0;v110;3,12;3,12;20/02/2022;1
78933455;2343892;1350;01/01/2022;01/02/2022;9,26;0;v110;9,26;9,26;01/02/2022;1
79337384;1201233;1350;13/01/2022;13/02/2022;1687,84;0;v110;1687,84;1687,84;13/02/2022;1
79404162;2191686;1350;23/01/2022;23/02/2022;351,55;0;v110;351,55;351,55;23/02/2022;1
79656137;1980032;1350;08/01/2022;08/02/2022;104,43;0;v110;104,43;104,43;08/02/2022;1
79732330;534744;1350;08/01/2022;08/02/2022;78,35;0;v110;78,35;78,35;08/02/2022;1
79850103;2427388;1350;13/01/2022;13/02/2022;4,78;0;v110;4,78;4,78;13/02/2022;1
79963145;2016314;1350;01/01/2022;01/02/2022;6,64;0;v110;6,64;6,64;01/02/2022;1
80017312;1187146;1350;01/01/2022;01/02/2022;821,01;0;v110;821,01;821,01;01/02/2022;1
80202136;2085321;1350;23/01/2022;23/02/2022;11,39;0;v110;11,39;11,39;23/02/2022;1
80935478;1968271;1350;15/01/2022;15/02/2022;55,89;0;v110;55,89;55,89;15/02/2022;1
80941362;2147382;1350;23/01/2022;23/02/2022;135,76;0;v110;135,76;135,76;23/02/2022;1
81101740;859815;1350;10/01/2022;10/02/2022;527,03;0;v110;527,03;527,03;10/02/2022;1
81163347;2120374;1350;23/01/2022;23/02/2022;17,49;0;v110;17,49;17,49;23/02/2022;1
81366450;1893774;1350;08/01/2022;08/02/2022;10,59;0;v110;10,59;10,59;08/02/2022;1
81505167;2019030;1350;13/01/2022;13/02/2022;145,85;0;v110;145,85;145,85;13/02/2022;1
81656378;1853790;1350;23/01/2022;23/02/2022;186,54;0;v110;186,54;186,54;23/02/2022;1
81842244;2006325;1350;20/01/2022;20/02/2022;28,92;0;v110;28,92;28,92;20/02/2022;1
81851316;2080736;1350;13/01/2022;13/02/2022;402,73;0;v110;402,73;402,73;13/02/2022;1
81853440;1957903;1350;13/01/2022;13/02/2022;9,61;0;v110;9,61;9,61;13/02/2022;1
81955448;1708821;1350;13/01/2022;13/02/2022;12,74;0;v110;12,74;12,74;13/02/2022;1
81955448;1895503;1350;13/01/2022;13/02/2022;93,76;0;v110;93,76;93,76;13/02/2022;1
81967373;710869;1350;15/01/2022;15/02/2022;4,38;0;v110;4,38;4,38;15/02/2022;1
81979460;1292149;1350;05/01/2022;05/02/2022;5,02;0;v110;5,02;5,02;05/02/2022;1
82319154;2016841;1350;13/01/2022;13/02/2022;259,51;0;v110;259,51;259,51;13/02/2022;1
82342210;2012476;1350;13/01/2022;13/02/2022;13,2;0;v110;13,2;13,2;13/02/2022;1
82374414;720797;1350;01/01/2022;01/02/2022;808,9;0;v110;808,9;808,9;01/02/2022;1
82374414;781091;1350;03/01/2022;03/02/2022;9,33;0;v110;9,33;9,33;03/02/2022;1
82571406;1717144;1350;15/01/2022;15/02/2022;30,53;0;v110;30,53;30,53;15/02/2022;1
82659419;1559166;1350;08/01/2022;08/02/2022;300,21;0;v110;300,21;300,21;08/02/2022;1
82730490;2102612;1350;15/01/2022;15/02/2022;23,54;0;v110;23,54;23,54;15/02/2022;1
82769435;805303;1350;10/01/2022;10/02/2022;9,38;0;v110;9,38;9,38;10/02/2022;1
82771413;1995871;1350;15/01/2022;15/02/2022;19,58;0;v110;19,58;19,58;15/02/2022;1
82780323;724964;1350;03/01/2022;03/02/2022;409,97;0;v110;409,97;409,97;03/02/2022;1
82800103;1972660;1350;03/01/2022;03/02/2022;289,45;0;v110;289,45;289,45;03/02/2022;1
82809402;2046398;1350;01/01/2022;01/02/2022;2,04;0;v110;2,04;2,04;01/02/2022;1
82858101;2329233;1350;15/01/2022;15/02/2022;13,03;0;v110;13,03;13,03;15/02/2022;1
82940460;1491588;1350;08/01/2022;08/02/2022;111;0;v110;111;111;08/02/2022;1
82940460;1908095;1350;08/01/2022;08/02/2022;615,69;0;v110;615,69;615,69;08/02/2022;1
